ICD10_6,ICD10_8
8157,8158
9752,9751
9753,9751
1421500,3144100
1501201,1501200
3029600,3029601
3029700,3029702
3029701,3029702
3030600,3030601
3030900,3030800
3032001,3844604
3043901,3048402
3043902,5503600
3044100,5503600
3044600,3044300
3051100,3051104
3051101,3051102
3051400,3051401
3221300,3666300
3221500,3666500
3221600,3666400
3221800,3666700
3520000,5997000
3520001,5971800
3575600,3565300
3575603,3565304
3680601,3661500
3680900,3680302
3684000,3684003
3684001,3684003
3684500,3684506
3684501,3684507
3684502,3684507
3684503,3684506
3720305,3720306
3722301,3722300
3844600,3844604
3844601,3844604
4033001,4033000
4251803,4251804
4257800,4257500
4500300,4500301
4500600,4500301
4500900,4500901
4501200,4500901
4520300,4520000
4520900,4522101
4521200,4522401
4521500,4522101
4521800,4522401
4522100,4522101
4522400,4522401
4553000,4553002
4553001,4553002
5037500,5037501
5037800,5037801
5038100,5037501
5038400,5037801
5505400,9090800
5513000,5511800
5584800,9090800
5654900,5654901
5734100,5600100
5910300,9090900
5931200,5930000
5931400,5930300
5931800,5930300
6050600,6050300
9002100,3932703
9002500,5061600
9002501,5061601
9002502,5061602
9002503,5062000
9003300,3541200
9004600,9004602
9004601,9004602
9004900,9004901
9023400,1172700
9040102,3760501
9047800,9043501
9053700,4911600
9054300,4921000
9076900,3222000
9076901,3222100
9076902,3222101
9090500,6155900
9090502,6152300
9205800,9205801
9555013,9610400
9619200,4869100
9619201,4869101
9619202,4869102
9619203,4869103
9619204,4869104
9619205,4869105
9704600,9704801
9704700,9704701
9704800,9704801
A490,A4900
A630,A6300
C80,C799
C832,C839
C834,C833
C836,C839
C842,C844
C843,C844
C850,C857
C8810,C8820
C8811,C8821
C9120,C9190
C9121,C9191
C9320,C9390
C9321,C9391
C9410,C9430
C9411,C9431
C9450,C9440
C9451,C9441
C9520,C9590
C9521,C9591
C961,C968
C963,C968
D377,D3779
D463,D464
D630,D63
D638,D63
D752,D759
D760,D761
F130,F1300
F131,F1310
F132,F1320
F133,F1330
F134,F1340
F135,F1350
F136,F1360
F137,F1370
F138,F1380
F139,F1390
F160,F1600
F161,F1610
F162,F1620
F163,F1630
F164,F1640
F165,F1650
F166,F1660
F167,F1670
F168,F1680
F169,F1690
I48,I489
I840,K640
I841,K640
I842,K640
I843,K645
I844,K645
I845,K645
I846,K644
I847,K649
I848,K649
I849,K649
J960,J9609
J961,J9619
J969,J9699
K070,K0700
K292,K2920
K293,K2930
K294,K2940
K295,K2950
K296,K2960
K297,K2970
K298,K2980
K299,K2990
K350,K352
K351,K353
K359,K358
L412,C866
M7141,M753
O96,O969
O97,O979
P2842,P2849
P522,P5221
P912,P9120
P916,P9160
Q030,Q0309
Q038,Q0389
Q134,Q1340
Q170,Q1701
Q203,Q2030
Q204,Q2040
Q205,Q2050
Q208,Q2089
Q212,Q2120
Q218,Q2189
Q223,Q2230
Q228,Q2289
Q238,Q2389
Q248,Q2489
Q251,Q2510
Q253,Q2530
Q254,Q2540
Q257,Q2570
Q260,Q2600
Q268,Q2689
Q270,Q2701
Q272,Q2720
Q283,Q2830
Q300,Q3001
Q308,Q3089
Q330,Q3300
Q351,Q3510
Q353,Q3530
Q355,Q3510
Q370,Q3510
Q371,Q3510
Q372,Q3530
Q373,Q3530
Q374,Q3510
Q375,Q3510
Q378,Q359
Q379,Q359
Q380,Q3800
Q383,Q3830
Q384,Q3840
Q385,Q3850
Q386,Q3860
Q3911,Q3913
Q3912,Q3913
Q3919,Q3915
Q402,Q4029
Q410,Q4101
Q411,Q4111
Q412,Q4121
Q418,Q4181
Q438,Q4389
Q518,Q5189
Q524,Q5240
Q526,Q5260
Q527,Q5270
Q551,Q5511
Q554,Q5540
Q556,Q5560
Q564,Q5641
Q6211,Q6215
Q6212,Q6216
Q6213,Q6215
Q6214,Q6216
Q6218,Q6215
Q645,Q6451
Q658,Q6589
Q680,Q6800
Q681,Q6810
Q682,Q7281
Q688,Q7989
Q711,Q7111
Q714,Q7140
Q715,Q7150
Q718,Q7189
Q721,Q7213
Q728,Q7289
Q7401,Q6813
Q7402,Q6814
Q7403,Q6815
Q7407,Q690
Q741,Q7410
Q742,Q7420
Q7642,Q7643
Q788,Q7889
Q791,Q7910
Q795,Q7950
Q798,Q7989
Q799,Q7990
Q828,Q8289
Q846,Q8460
Q927,Q9271
R95,R959
T412,T4120
W25,W259
X34,X349
Y9240,Y9249
Z0631,Z0651
Z0632,Z0652
Z0639,Z0651
Z0641,Z0661
Z0649,Z0662
Z068,Z0667
Z0690,Z0660
Z0699,Z0668
Z458,Z4589
