ICD9,ICD10
0010,A000
0011,A001
0019,A009
0020,A010
0021,A011
0022,A012
0023,A013
0029,A014
0030,A020
0031,A021
00320,A022
00321,G01
00322,J170
00323,M0139
00324,M9029
00329,A022
0038,A028
0039,A029
0040,A030
0041,A031
0042,A032
0043,A033
0048,A038
0049,A039
0050,A050
0051,A051
0052,A052
0053,A058
0054,A053
00581,A058
00589,A058
0059,A059
0060,A060
0061,A061
0062,A062
0063,A064
0064,A065
0065,A066
0066,A067
0068,A068
0069,A069
0070,A070
0071,A071
0072,A073
0073,A078
0074,A072
0078,A078
0079,A079
00800,A044
00801,A040
00802,A041
00803,A042
00804,A043
00809,A044
0081,A020
0082,A048
0083,A048
00841,A048
00842,A048
00843,A045
00844,A046
00845,A047
00846,A048
00847,A048
00849,A048
0085,A049
00861,A080
00862,A082
00863,A081
00864,A081
00865,A083
00866,A083
00867,A083
00869,A083
0088,A085
0090,A09
0091,A09
0092,A09
0093,A09
01000,A167
01001,A167
01002,A167
01003,A157
01004,A157
01005,A157
01006,A167
01010,A167
01011,A167
01012,A167
01013,A157
01014,A157
01015,A157
01016,A167
01080,A167
01081,A167
01082,A167
01083,A157
01084,A157
01085,A157
01086,A167
01090,A167
01091,A167
01092,A167
01093,A157
01094,A157
01095,A157
01096,A167
01100,A153
01101,A161
01102,A162
01103,A150
01104,A151
01105,A152
01106,A160
01110,A153
01111,A161
01112,A162
01113,A150
01114,A151
01115,A152
01116,A160
01120,A153
01121,A161
01122,A162
01123,A150
01124,A151
01125,A152
01126,A160
01130,A164
01131,A164
01132,A164
01133,A164
01134,A155
01135,A155
01136,A164
01140,A153
01141,A161
01142,A162
01143,A150
01144,A151
01145,A152
01146,A162
01150,A153
01151,A161
01152,A162
01153,A150
01154,A151
01155,A152
01156,A162
01160,A153
01161,A161
01162,A162
01163,A150
01164,A151
01165,A152
01166,A162
01170,A153
01171,A161
01172,A162
01173,A150
01174,A151
01175,A152
01176,A162
01180,A153
01181,A161
01182,A162
01183,A150
01184,A151
01185,A152
01186,A162
01190,A153
01191,A161
01192,A162
01193,A150
01194,A151
01195,A152
01196,A162
01200,A165
01201,A165
01202,A165
01203,A165
01204,A156
01205,A156
01206,A165
01210,A163
01211,A163
01212,A163
01213,A163
01214,A154
01215,A154
01216,A163
01220,A164
01221,A164
01222,A164
01223,A164
01224,A155
01225,A155
01226,A164
01230,J387
01231,J387
01232,J387
01233,J387
01234,J387
01235,J387
01236,J387
01280,A168
01281,A168
01282,A168
01283,A168
01284,A158
01285,A155
01286,A168
01300,A170
01301,A170
01302,A170
01303,A170
01304,A170
01305,A170
01306,A170
01310,A171
01311,A171
01312,A171
01313,A171
01314,A171
01315,A171
01316,A171
01320,A178
01321,A178
01322,A178
01323,A178
01324,A178
01325,A178
01326,A178
01330,A178
01331,A178
01332,A178
01333,A178
01334,A178
01335,A178
01336,A178
01340,A178
01341,A178
01342,A178
01343,A178
01344,A178
01345,A178
01346,A178
01350,A178
01351,A178
01352,A178
01353,A178
01354,A178
01355,A178
01356,A178
01360,A178
01361,A178
01362,A178
01363,A178
01364,A178
01365,A178
01366,A178
01380,A178
01381,A178
01382,A178
01383,A178
01384,A178
01385,A178
01386,A178
01390,A179
01391,A179
01392,A179
01393,A179
